State,precipitation,Year,Month,precipitation50mm,precipitation_percentage,maxprecipitation1day,maxprecipitation5day,relative_humidity,maxsurfaceairtemperature
Andaman and Nicobar Islands,30.24,1950,1,0.0,92.22,13.98,20.78,76.53,25.4
Andaman and Nicobar Islands,38.05,1950,2,0.0,152.77,10.19,25.09,78.02,26.09
Andaman and Nicobar Islands,39.25,1950,3,0.0,55.55,9.19,31.68,78.27,27.15
Andaman and Nicobar Islands,105.7,1950,4,0.0,112.52,33.37,68.87,79.06,27.75
Andaman and Nicobar Islands,228.05,1950,5,0.23,88.9,33.23,72.83,83.65,27.49
Andaman and Nicobar Islands,273.89,1950,6,0.21,93.68,39.36,97.68,85.78,27.24
Andaman and Nicobar Islands,163.26,1950,7,0.0,54.5,21.22,64.0,85.48,26.77
Andaman and Nicobar Islands,95.18,1950,8,0.0,35.2,13.73,42.79,84.16,26.75
Andaman and Nicobar Islands,347.77,1950,9,0.5,119.2,51.89,130.87,86.29,26.21
Andaman and Nicobar Islands,142.18,1950,10,0.0,53.27,15.12,44.08,84.14,26.12
Andaman and Nicobar Islands,142.08,1950,11,0.0,75.94,15.05,57.02,82.84,26.1
Andaman and Nicobar Islands,199.11,1950,12,0.53,277.05,44.22,109.98,82.27,25.68
Andaman and Nicobar Islands,139.08,1951,1,0.0,416.95,22.5,56.4,82.21,25.58
Andaman and Nicobar Islands,56.36,1951,2,0.0,298.75,10.03,30.08,79.34,26.0
Andaman and Nicobar Islands,16.58,1951,3,0.0,29.82,9.43,10.85,79.28,26.63
Andaman and Nicobar Islands,77.63,1951,4,0.0,82.78,17.91,47.52,79.19,27.55
Andaman and Nicobar Islands,127.86,1951,5,0.0,49.65,18.13,63.88,82.29,27.57
Andaman and Nicobar Islands,307.33,1951,6,0.06,101.65,39.41,111.0,85.81,27.14
Andaman and Nicobar Islands,176.57,1951,7,0.01,58.95,30.53,89.61,84.82,26.91
Andaman and Nicobar Islands,265.71,1951,8,0.0,92.39,25.27,75.02,85.51,27.11
Andaman and Nicobar Islands,208.81,1951,9,0.0,69.19,21.92,67.08,84.47,26.9
Andaman and Nicobar Islands,265.34,1951,10,0.0,99.53,28.75,89.7,85.4,26.49
Andaman and Nicobar Islands,239.07,1951,11,0.0,127.14,25.3,85.73,84.01,26.77
Andaman and Nicobar Islands,597.15,1951,12,3.79,853.56,107.66,362.92,84.21,25.84
Andaman and Nicobar Islands,112.39,1952,1,0.17,172.8,21.77,57.93,80.39,26.1
Andaman and Nicobar Islands,74.07,1952,2,0.0,414.88,24.56,48.38,81.29,26.19
Andaman and Nicobar Islands,103.81,1952,3,0.0,190.01,19.33,50.72,80.07,26.68
Andaman and Nicobar Islands,75.51,1952,4,0.0,75.84,9.78,34.44,78.59,27.89
Andaman and Nicobar Islands,236.02,1952,5,0.0,91.02,24.26,81.99,83.03,27.77
Andaman and Nicobar Islands,246.38,1952,6,0.0,82.89,19.68,69.55,85.69,27.3
Andaman and Nicobar Islands,206.01,1952,7,0.0,71.86,17.34,56.3,85.77,26.97
Andaman and Nicobar Islands,261.17,1952,8,0.0,89.77,25.16,88.27,85.66,27.02
Andaman and Nicobar Islands,243.45,1952,9,0.27,82.12,38.35,103.63,85.54,26.63
Andaman and Nicobar Islands,281.47,1952,10,0.14,105.83,31.64,90.68,85.77,26.33
Andaman and Nicobar Islands,481.45,1952,11,1.92,249.13,70.54,232.23,84.7,25.91
Andaman and Nicobar Islands,197.31,1952,12,0.56,308.94,57.05,150.02,79.68,25.47
Andaman and Nicobar Islands,192.52,1953,1,0.21,643.87,37.86,92.14,81.86,25.21
Andaman and Nicobar Islands,128.42,1953,2,0.0,828.45,27.9,59.73,79.99,25.64
Andaman and Nicobar Islands,124.62,1953,3,0.09,251.09,30.46,84.48,78.65,26.82
Andaman and Nicobar Islands,173.0,1953,4,0.0,200.41,18.73,77.83,82.14,27.07
Andaman and Nicobar Islands,206.58,1953,5,0.0,80.44,23.69,77.9,83.33,27.69
Andaman and Nicobar Islands,335.63,1953,6,0.16,115.41,32.02,97.69,85.9,27.09
Andaman and Nicobar Islands,306.25,1953,7,0.95,104.8,65.07,164.69,85.17,26.61
Andaman and Nicobar Islands,329.78,1953,8,0.0,109.48,30.25,96.98,85.45,26.89
Andaman and Nicobar Islands,243.67,1953,9,0.0,82.61,24.67,88.95,86.4,26.2
Andaman and Nicobar Islands,244.01,1953,10,0.0,91.59,21.12,84.1,84.02,26.55
Andaman and Nicobar Islands,288.75,1953,11,0.42,154.23,48.54,101.47,84.08,25.89
Andaman and Nicobar Islands,170.01,1953,12,0.3,200.81,42.82,64.85,80.14,26.05
Andaman and Nicobar Islands,125.15,1954,1,0.0,302.78,25.06,71.72,79.0,26.08
Andaman and Nicobar Islands,35.11,1954,2,0.0,138.19,6.94,20.55,75.38,26.67
Andaman and Nicobar Islands,69.13,1954,3,0.0,89.99,11.73,27.49,78.12,26.83
Andaman and Nicobar Islands,72.22,1954,4,0.0,64.42,11.11,42.71,75.6,27.89
Andaman and Nicobar Islands,319.92,1954,5,0.0,123.67,37.15,112.42,84.12,27.33
Andaman and Nicobar Islands,376.01,1954,6,0.38,130.61,50.64,118.82,85.48,27.1
Andaman and Nicobar Islands,324.76,1954,7,0.11,117.25,33.42,115.74,85.57,26.51
Andaman and Nicobar Islands,308.66,1954,8,0.3,113.8,44.5,111.8,86.91,26.36
Andaman and Nicobar Islands,399.56,1954,9,0.37,135.27,45.37,121.54,87.11,26.05
Andaman and Nicobar Islands,273.57,1954,10,0.0,102.31,30.93,96.17,85.45,25.82
Andaman and Nicobar Islands,81.39,1954,11,0.0,36.0,15.11,38.55,78.87,26.26
Andaman and Nicobar Islands,112.73,1954,12,0.0,108.34,19.6,57.11,79.07,25.82
Andaman and Nicobar Islands,72.45,1955,1,0.0,134.96,15.86,42.55,76.65,25.81
Andaman and Nicobar Islands,18.21,1955,2,0.0,41.83,4.93,8.98,74.48,26.12
Andaman and Nicobar Islands,21.31,1955,3,0.0,33.71,5.79,13.27,75.26,27.02
Andaman and Nicobar Islands,87.21,1955,4,0.0,90.43,16.05,53.11,75.77,27.69
Andaman and Nicobar Islands,357.56,1955,5,0.4,138.37,40.14,123.76,84.62,27.4
Andaman and Nicobar Islands,440.87,1955,6,0.76,150.74,55.14,135.03,86.65,26.74
Andaman and Nicobar Islands,265.58,1955,7,0.0,90.26,22.28,78.71,84.89,26.78
Andaman and Nicobar Islands,313.36,1955,8,0.0,113.09,34.41,96.42,84.79,26.74
Andaman and Nicobar Islands,317.43,1955,9,0.14,105.33,38.0,135.58,85.01,26.47
Andaman and Nicobar Islands,566.74,1955,10,1.51,212.52,57.78,171.0,86.5,25.98
Andaman and Nicobar Islands,280.0,1955,11,0.66,135.69,52.81,140.48,83.15,26.05
Andaman and Nicobar Islands,36.31,1955,12,0.0,21.97,7.29,20.94,73.01,25.3
Andaman and Nicobar Islands,41.06,1956,1,0.02,42.06,10.11,20.05,74.12,25.33
Andaman and Nicobar Islands,38.33,1956,2,0.0,147.7,13.71,25.21,75.44,25.63
Andaman and Nicobar Islands,27.49,1956,3,0.0,35.99,8.34,66.11,77.87,26.74
Andaman and Nicobar Islands,171.95,1956,4,0.39,179.28,54.89,100.37,79.93,27.03
Andaman and Nicobar Islands,343.32,1956,5,0.1,132.71,38.02,117.52,85.83,26.97
Andaman and Nicobar Islands,377.41,1956,6,0.58,127.63,46.62,154.55,85.73,26.63
Andaman and Nicobar Islands,374.97,1956,7,0.08,132.53,33.09,140.38,86.02,26.19
Andaman and Nicobar Islands,267.02,1956,8,0.0,95.18,24.39,92.98,85.95,26.39
Andaman and Nicobar Islands,412.81,1956,9,0.45,141.62,44.35,138.6,87.13,25.99
Andaman and Nicobar Islands,375.32,1956,10,0.08,140.56,35.09,106.2,85.69,25.86
Andaman and Nicobar Islands,159.44,1956,11,0.0,77.6,31.43,83.08,80.35,26.19
Andaman and Nicobar Islands,94.36,1956,12,0.0,82.34,20.28,50.61,77.92,25.76
Andaman and Nicobar Islands,33.92,1957,1,0.0,57.68,7.8,15.74,76.16,25.55
Andaman and Nicobar Islands,34.63,1957,2,0.0,195.38,13.73,27.99,74.01,25.28
Andaman and Nicobar Islands,13.2,1957,3,0.0,14.05,4.96,8.91,72.16,26.46
Andaman and Nicobar Islands,31.14,1957,4,0.0,29.09,4.12,13.48,75.25,27.97
Andaman and Nicobar Islands,150.19,1957,5,0.0,58.9,24.76,105.57,79.95,28.13
Andaman and Nicobar Islands,385.0,1957,6,0.04,125.31,37.26,123.75,85.62,27.3
Andaman and Nicobar Islands,225.99,1957,7,0.0,77.94,25.35,81.96,85.16,27.0
Andaman and Nicobar Islands,256.95,1957,8,0.0,88.4,18.91,85.9,86.34,26.58
Andaman and Nicobar Islands,310.8,1957,9,0.22,105.31,43.78,122.27,85.67,26.48
Andaman and Nicobar Islands,275.4,1957,10,0.72,104.17,51.32,126.01,83.96,26.54
Andaman and Nicobar Islands,104.96,1957,11,0.0,46.68,13.44,39.11,81.91,26.65
Andaman and Nicobar Islands,124.36,1957,12,0.0,123.77,19.01,60.06,80.69,26.38
Andaman and Nicobar Islands,87.48,1958,1,0.0,218.42,16.93,53.62,79.24,25.99
Andaman and Nicobar Islands,20.87,1958,2,0.0,87.71,5.08,31.31,76.11,26.06
Andaman and Nicobar Islands,36.16,1958,3,0.0,55.05,10.65,21.89,76.88,27.09
Andaman and Nicobar Islands,30.88,1958,4,0.0,31.53,11.65,19.01,75.98,28.35
Andaman and Nicobar Islands,223.25,1958,5,0.0,86.23,23.11,76.84,83.42,28.12
Andaman and Nicobar Islands,338.95,1958,6,0.29,114.07,40.47,116.34,85.98,27.52
Andaman and Nicobar Islands,253.92,1958,7,0.0,85.37,25.26,107.74,85.42,27.24
Andaman and Nicobar Islands,243.73,1958,8,0.13,88.16,29.28,91.44,84.72,26.86
Andaman and Nicobar Islands,212.15,1958,9,0.0,72.81,26.15,69.76,85.99,26.61
Andaman and Nicobar Islands,303.1,1958,10,0.1,113.65,34.44,115.13,85.51,26.3
Andaman and Nicobar Islands,273.83,1958,11,0.73,134.49,55.89,179.75,80.4,26.38
Andaman and Nicobar Islands,43.4,1958,12,0.0,28.43,9.28,17.83,71.44,25.91
Andaman and Nicobar Islands,36.52,1959,1,0.0,65.1,6.73,17.27,77.47,25.75
Andaman and Nicobar Islands,9.5,1959,2,0.0,18.33,1.93,4.8,75.91,26.05
Andaman and Nicobar Islands,47.68,1959,3,0.0,83.88,16.16,34.49,77.27,26.63
Andaman and Nicobar Islands,90.04,1959,4,0.0,94.38,20.25,50.26,77.82,27.77
Andaman and Nicobar Islands,237.0,1959,5,0.54,91.56,56.48,136.13,81.55,27.84
Andaman and Nicobar Islands,353.49,1959,6,0.68,119.69,51.86,145.23,84.32,27.39
Andaman and Nicobar Islands,464.07,1959,7,0.07,158.29,35.47,113.33,86.15,26.79
Andaman and Nicobar Islands,207.16,1959,8,0.0,74.58,20.43,60.5,85.3,26.75
Andaman and Nicobar Islands,289.6,1959,9,0.22,98.01,37.88,127.38,85.72,26.43
Andaman and Nicobar Islands,232.68,1959,10,0.0,86.92,27.2,86.73,85.42,26.17
Andaman and Nicobar Islands,135.75,1959,11,0.52,61.51,45.78,92.47,81.22,26.59
Andaman and Nicobar Islands,121.8,1959,12,0.0,136.71,25.82,70.2,82.62,26.21
Andaman and Nicobar Islands,83.67,1960,1,0.0,160.25,14.26,38.99,78.46,25.92
Andaman and Nicobar Islands,46.03,1960,2,0.0,224.06,17.03,29.01,77.47,26.07
Andaman and Nicobar Islands,15.03,1960,3,0.0,15.27,3.39,8.42,74.16,26.13
Andaman and Nicobar Islands,45.98,1960,4,0.0,38.87,7.37,21.37,76.1,28.0
Andaman and Nicobar Islands,288.14,1960,5,0.0,110.79,36.09,123.06,82.18,27.74
Andaman and Nicobar Islands,410.27,1960,6,0.48,135.71,44.54,138.77,86.11,27.12
Andaman and Nicobar Islands,172.6,1960,7,0.0,62.31,15.4,54.8,85.11,26.82
Andaman and Nicobar Islands,124.98,1960,8,0.0,45.14,12.68,42.59,85.01,27.33
Andaman and Nicobar Islands,301.2,1960,9,0.0,104.63,31.63,109.56,86.65,26.36
Andaman and Nicobar Islands,196.16,1960,10,0.07,73.42,38.82,96.34,83.97,26.16
Andaman and Nicobar Islands,221.41,1960,11,0.0,107.96,27.93,72.17,83.79,26.36
Andaman and Nicobar Islands,111.03,1960,12,0.0,124.58,21.12,65.46,77.77,26.22
Andaman and Nicobar Islands,58.23,1961,1,0.0,154.57,18.36,37.19,75.78,25.82
Andaman and Nicobar Islands,56.97,1961,2,0.0,258.51,15.89,37.91,78.38,26.12
Andaman and Nicobar Islands,37.41,1961,3,0.0,52.33,5.45,15.88,76.96,26.74
Andaman and Nicobar Islands,70.5,1961,4,0.0,68.76,10.12,32.95,78.83,27.93
Andaman and Nicobar Islands,526.71,1961,5,1.15,202.69,97.22,187.15,85.62,27.18
Andaman and Nicobar Islands,232.21,1961,6,0.22,76.64,41.72,104.46,84.09,27.05
Andaman and Nicobar Islands,273.75,1961,7,0.06,88.83,32.99,94.76,84.25,26.81
Andaman and Nicobar Islands,307.24,1961,8,0.42,105.38,46.76,106.97,86.23,26.63
Andaman and Nicobar Islands,270.55,1961,9,0.05,87.81,30.09,86.09,85.12,26.53
Andaman and Nicobar Islands,329.42,1961,10,0.37,123.73,45.75,119.51,85.01,26.03
Andaman and Nicobar Islands,208.93,1961,11,0.18,105.82,36.29,88.55,84.28,26.37
Andaman and Nicobar Islands,145.48,1961,12,0.0,147.43,28.3,82.23,80.52,25.81
Andaman and Nicobar Islands,120.75,1962,1,0.03,299.8,21.43,65.36,79.96,25.59
Andaman and Nicobar Islands,20.3,1962,2,0.0,138.25,8.53,15.54,73.8,26.26
Andaman and Nicobar Islands,52.96,1962,3,0.0,69.75,9.37,23.46,77.1,27.02
Andaman and Nicobar Islands,67.36,1962,4,0.0,71.33,18.08,34.4,76.44,27.89
Andaman and Nicobar Islands,335.29,1962,5,0.0,129.15,35.5,120.67,83.55,27.59
Andaman and Nicobar Islands,264.62,1962,6,0.23,84.51,34.49,98.62,84.22,27.45
Andaman and Nicobar Islands,341.35,1962,7,0.2,112.89,39.89,106.58,85.38,27.21
Andaman and Nicobar Islands,326.43,1962,8,0.07,112.58,33.33,108.11,84.9,26.67
Andaman and Nicobar Islands,350.69,1962,9,0.02,119.17,28.31,108.67,86.02,26.52
Andaman and Nicobar Islands,332.9,1962,10,0.14,124.96,41.06,117.61,85.15,26.4
Andaman and Nicobar Islands,121.62,1962,11,0.0,57.61,24.01,52.54,81.22,26.38
Andaman and Nicobar Islands,294.6,1962,12,1.79,344.59,83.88,205.68,79.09,25.82
Andaman and Nicobar Islands,106.9,1963,1,0.0,218.68,27.39,68.68,74.63,25.37
Andaman and Nicobar Islands,35.44,1963,2,0.0,127.34,8.52,26.33,77.68,25.93
Andaman and Nicobar Islands,24.87,1963,3,0.0,38.56,4.13,10.22,76.83,26.89
Andaman and Nicobar Islands,39.43,1963,4,0.0,41.84,10.36,25.49,74.88,28.13
Andaman and Nicobar Islands,201.35,1963,5,0.02,78.04,36.15,135.84,79.1,28.31
Andaman and Nicobar Islands,343.8,1963,6,0.89,111.19,51.32,158.61,84.85,27.37
Andaman and Nicobar Islands,234.88,1963,7,0.0,77.73,22.6,67.56,84.64,27.06
Andaman and Nicobar Islands,367.99,1963,8,0.0,126.34,30.46,96.04,86.08,26.73
Andaman and Nicobar Islands,368.18,1963,9,0.0,124.98,37.65,121.17,86.65,26.41
Andaman and Nicobar Islands,396.23,1963,10,0.57,148.4,45.94,131.69,85.65,26.19
Andaman and Nicobar Islands,214.69,1963,11,0.0,101.89,20.95,69.09,83.74,26.19
Andaman and Nicobar Islands,128.47,1963,12,0.0,154.93,15.09,57.28,80.63,25.68
Andaman and Nicobar Islands,35.39,1964,1,0.0,61.7,8.89,20.94,76.42,25.7
Andaman and Nicobar Islands,49.84,1964,2,0.0,122.3,8.48,20.42,77.38,26.74
Andaman and Nicobar Islands,33.61,1964,3,0.0,49.36,10.65,15.83,77.65,27.1
Andaman and Nicobar Islands,63.19,1964,4,0.0,64.26,10.61,37.63,77.02,28.14
Andaman and Nicobar Islands,316.06,1964,5,0.34,122.31,48.78,141.31,84.66,27.51
Andaman and Nicobar Islands,323.19,1964,6,0.0,104.64,31.52,93.58,84.86,27.14
Andaman and Nicobar Islands,226.36,1964,7,0.0,77.36,19.14,59.31,84.02,26.9
Andaman and Nicobar Islands,297.65,1964,8,0.05,102.11,29.91,94.7,85.56,26.82
Andaman and Nicobar Islands,276.26,1964,9,0.11,94.31,31.24,80.12,85.81,26.52
Andaman and Nicobar Islands,267.89,1964,10,0.0,99.96,30.53,88.0,85.57,26.18
Andaman and Nicobar Islands,337.87,1964,11,0.16,166.03,33.08,111.52,84.75,25.68
Andaman and Nicobar Islands,181.8,1964,12,0.99,104.54,33.87,110.19,78.63,25.56
Andaman and Nicobar Islands,30.01,1965,1,0.0,81.9,9.89,17.64,71.59,25.41
Andaman and Nicobar Islands,40.05,1965,2,0.0,209.74,8.71,23.61,77.65,26.36
Andaman and Nicobar Islands,50.33,1965,3,0.0,93.59,12.19,25.94,76.83,26.6
Andaman and Nicobar Islands,170.84,1965,4,0.0,187.08,20.23,62.23,80.71,27.1
Andaman and Nicobar Islands,510.4,1965,5,0.39,195.71,47.9,144.63,85.55,27.07
Andaman and Nicobar Islands,314.45,1965,6,0.15,101.02,33.93,117.16,85.52,27.06
Andaman and Nicobar Islands,260.47,1965,7,0.0,86.01,24.71,71.49,85.57,26.67
Andaman and Nicobar Islands,365.23,1965,8,0.0,128.22,31.27,111.74,85.78,26.32
Andaman and Nicobar Islands,519.25,1965,9,0.94,170.35,47.97,149.97,86.58,26.4
Andaman and Nicobar Islands,500.53,1965,10,0.43,188.87,44.75,151.86,85.81,26.31
Andaman and Nicobar Islands,238.68,1965,11,0.05,111.22,37.09,93.99,82.96,26.32
Andaman and Nicobar Islands,397.18,1965,12,1.04,485.93,56.47,165.17,84.3,26.09
Andaman and Nicobar Islands,124.61,1966,1,0.18,278.17,30.58,63.95,79.14,26.23
Andaman and Nicobar Islands,54.29,1966,2,0.0,312.66,14.38,23.39,79.44,26.53
Andaman and Nicobar Islands,35.91,1966,3,0.0,47.75,7.69,16.7,74.4,26.95
Andaman and Nicobar Islands,135.2,1966,4,0.04,137.86,24.2,68.57,79.29,27.88
Andaman and Nicobar Islands,391.9,1966,5,0.4,151.01,49.69,143.76,84.94,27.66
Andaman and Nicobar Islands,211.68,1966,6,0.0,66.7,26.7,87.57,83.76,27.59
Andaman and Nicobar Islands,399.56,1966,7,0.0,132.28,35.2,103.85,85.83,26.97
Andaman and Nicobar Islands,371.29,1966,8,0.02,131.11,35.41,103.93,86.17,26.74
Andaman and Nicobar Islands,416.0,1966,9,0.85,140.18,49.71,170.54,85.11,26.53
Andaman and Nicobar Islands,246.22,1966,10,0.0,91.7,30.66,106.03,83.92,26.39
Andaman and Nicobar Islands,320.21,1966,11,0.78,156.35,55.37,152.31,83.11,26.26
Andaman and Nicobar Islands,272.52,1966,12,0.21,307.97,44.16,116.72,82.33,26.0
Andaman and Nicobar Islands,134.6,1967,1,0.12,345.41,37.51,78.45,78.87,25.71
Andaman and Nicobar Islands,58.3,1967,2,0.06,178.27,17.1,33.31,76.24,26.04
Andaman and Nicobar Islands,26.7,1967,3,0.0,40.77,9.97,30.2,76.33,26.74
Andaman and Nicobar Islands,52.74,1967,4,0.0,58.35,10.85,28.28,77.31,27.66
Andaman and Nicobar Islands,389.24,1967,5,0.48,149.38,53.7,145.16,84.19,27.56
Andaman and Nicobar Islands,326.85,1967,6,0.0,104.61,32.59,112.71,83.64,27.31
Andaman and Nicobar Islands,383.22,1967,7,0.78,127.07,63.34,129.89,85.34,26.85
Andaman and Nicobar Islands,314.86,1967,8,0.31,106.01,38.73,106.76,86.27,26.57
Andaman and Nicobar Islands,268.55,1967,9,0.0,90.36,25.33,92.41,85.32,26.5
Andaman and Nicobar Islands,505.65,1967,10,2.15,189.79,124.34,256.12,85.84,25.88
Andaman and Nicobar Islands,163.61,1967,11,0.0,78.22,20.16,68.24,83.47,26.05
Andaman and Nicobar Islands,92.32,1967,12,0.0,92.7,23.85,69.66,76.62,26.18
Andaman and Nicobar Islands,38.58,1968,1,0.0,96.61,8.0,17.65,75.22,25.51
Andaman and Nicobar Islands,17.67,1968,2,0.0,115.25,3.47,9.05,77.21,25.46
Andaman and Nicobar Islands,35.83,1968,3,0.0,50.33,10.78,19.77,78.35,26.97
Andaman and Nicobar Islands,137.05,1968,4,0.0,158.19,30.72,96.42,78.98,27.42
Andaman and Nicobar Islands,321.71,1968,5,1.23,125.88,83.45,186.16,83.03,27.36
Andaman and Nicobar Islands,379.24,1968,6,0.0,125.78,36.02,118.14,85.03,27.14
Andaman and Nicobar Islands,386.12,1968,7,0.0,128.89,26.37,99.07,85.7,27.04
Andaman and Nicobar Islands,356.09,1968,8,0.0,121.79,33.95,104.09,86.13,26.77
Andaman and Nicobar Islands,355.9,1968,9,0.02,120.1,33.75,112.83,85.85,26.44
Andaman and Nicobar Islands,221.11,1968,10,0.0,82.75,20.19,78.47,84.27,26.34
Andaman and Nicobar Islands,100.6,1968,11,0.0,47.1,14.52,41.98,82.43,26.51
Andaman and Nicobar Islands,132.35,1968,12,0.3,128.59,34.92,86.12,82.02,26.09
Andaman and Nicobar Islands,94.61,1969,1,0.0,219.54,23.21,48.64,78.73,25.66
Andaman and Nicobar Islands,28.62,1969,2,0.0,162.16,13.25,19.68,75.1,26.17
Andaman and Nicobar Islands,40.08,1969,3,0.0,67.11,13.64,28.44,77.63,27.27
Andaman and Nicobar Islands,51.73,1969,4,0.0,50.35,8.92,19.59,78.08,28.37
Andaman and Nicobar Islands,400.83,1969,5,0.06,153.83,37.45,119.77,83.96,27.88
Andaman and Nicobar Islands,312.35,1969,6,0.0,104.58,27.37,85.69,84.88,27.57
Andaman and Nicobar Islands,285.77,1969,7,0.0,95.84,34.71,93.87,85.03,27.18
Andaman and Nicobar Islands,244.54,1969,8,0.06,85.76,29.56,84.97,83.38,26.95
Andaman and Nicobar Islands,274.24,1969,9,0.0,90.54,33.43,103.67,84.58,26.94
Andaman and Nicobar Islands,240.46,1969,10,0.0,90.15,21.79,75.82,83.76,26.52
Andaman and Nicobar Islands,267.09,1969,11,0.17,125.52,39.15,116.83,82.53,26.32
Andaman and Nicobar Islands,111.69,1969,12,0.07,83.3,16.5,38.01,77.82,26.29
Andaman and Nicobar Islands,124.11,1970,1,0.05,324.73,19.72,55.53,79.87,25.67
Andaman and Nicobar Islands,12.31,1970,2,0.0,63.71,3.11,7.51,77.38,26.29
Andaman and Nicobar Islands,32.23,1970,3,0.0,49.46,8.3,20.71,76.77,27.13
Andaman and Nicobar Islands,103.33,1970,4,0.0,108.3,19.52,57.15,79.4,27.98
Andaman and Nicobar Islands,394.26,1970,5,0.2,151.78,41.29,119.33,84.41,27.61
Andaman and Nicobar Islands,285.98,1970,6,0.0,95.73,30.02,97.42,85.2,27.52
Andaman and Nicobar Islands,305.74,1970,7,0.05,101.25,30.37,95.37,84.72,27.12
Andaman and Nicobar Islands,343.45,1970,8,0.0,122.01,33.32,97.61,85.77,26.74
Andaman and Nicobar Islands,237.09,1970,9,0.0,81.75,23.09,76.64,85.17,26.63
Andaman and Nicobar Islands,372.56,1970,10,0.73,139.45,53.03,149.07,84.46,26.33
Andaman and Nicobar Islands,399.51,1970,11,0.0,204.59,35.32,135.98,85.58,25.97
Andaman and Nicobar Islands,174.4,1970,12,0.13,240.92,34.02,79.06,81.24,25.98
Andaman and Nicobar Islands,67.41,1971,1,0.0,88.07,10.68,32.69,74.88,26.0
Andaman and Nicobar Islands,30.72,1971,2,0.0,110.48,5.5,16.91,76.79,25.86
Andaman and Nicobar Islands,78.25,1971,3,0.14,141.64,42.67,60.19,78.79,26.57
Andaman and Nicobar Islands,49.42,1971,4,0.0,49.12,9.42,41.46,77.74,27.65
Andaman and Nicobar Islands,331.81,1971,5,0.29,128.61,44.75,118.52,84.38,27.03
Andaman and Nicobar Islands,350.09,1971,6,0.2,113.94,34.79,108.97,84.96,27.05
Andaman and Nicobar Islands,270.77,1971,7,0.0,91.75,24.73,75.37,84.69,26.83
Andaman and Nicobar Islands,263.18,1971,8,0.07,92.03,34.04,98.1,84.34,26.7
Andaman and Nicobar Islands,265.28,1971,9,0.56,90.39,50.34,132.27,84.36,26.56
Andaman and Nicobar Islands,320.44,1971,10,0.0,120.6,33.53,97.83,85.27,25.99
Andaman and Nicobar Islands,164.98,1971,11,0.25,87.41,40.87,106.82,77.98,25.83
Andaman and Nicobar Islands,143.64,1971,12,0.0,119.24,14.44,50.3,80.88,25.96
Andaman and Nicobar Islands,30.82,1972,1,0.0,76.48,4.98,11.2,73.16,25.67
Andaman and Nicobar Islands,10.09,1972,2,0.0,29.68,1.81,5.09,73.99,25.74
Andaman and Nicobar Islands,21.09,1972,3,0.0,34.68,5.23,12.15,76.4,26.29
Andaman and Nicobar Islands,173.63,1972,4,0.62,197.17,50.6,119.46,80.27,27.24
Andaman and Nicobar Islands,256.66,1972,5,0.0,98.27,31.13,111.98,82.86,27.71
Andaman and Nicobar Islands,281.17,1972,6,0.0,92.32,27.24,83.54,84.71,27.5
Andaman and Nicobar Islands,303.33,1972,7,0.0,101.25,23.93,87.25,86.08,27.13
Andaman and Nicobar Islands,219.78,1972,8,0.0,77.01,22.0,71.49,84.45,26.94
Andaman and Nicobar Islands,279.6,1972,9,0.15,97.94,38.58,106.7,85.38,26.66
Andaman and Nicobar Islands,170.71,1972,10,0.0,63.93,20.84,62.16,83.54,26.83
Andaman and Nicobar Islands,354.85,1972,11,0.93,189.02,50.12,146.2,84.91,26.5
Andaman and Nicobar Islands,124.95,1972,12,0.1,144.77,35.64,120.09,80.1,26.39
Andaman and Nicobar Islands,18.55,1973,1,0.0,26.05,4.52,10.11,75.51,25.79
Andaman and Nicobar Islands,12.39,1973,2,0.0,33.84,2.93,6.58,77.53,26.67
Andaman and Nicobar Islands,35.99,1973,3,0.0,52.18,7.47,14.81,78.09,27.1
Andaman and Nicobar Islands,26.11,1973,4,0.0,24.83,5.05,38.04,75.79,28.45
Andaman and Nicobar Islands,369.02,1973,5,0.38,141.61,43.31,107.37,84.42,27.42
Andaman and Nicobar Islands,383.28,1973,6,0.04,127.12,38.3,127.25,85.68,27.29
Andaman and Nicobar Islands,284.22,1973,7,0.0,98.54,23.69,76.38,85.15,27.2
Andaman and Nicobar Islands,283.51,1973,8,0.0,101.36,28.61,92.89,85.5,26.93
Andaman and Nicobar Islands,298.36,1973,9,0.23,99.15,39.24,99.49,85.59,26.58
Andaman and Nicobar Islands,246.41,1973,10,0.03,92.6,33.63,100.87,84.0,26.64
Andaman and Nicobar Islands,280.32,1973,11,0.83,139.06,61.68,128.84,81.58,26.35
Andaman and Nicobar Islands,245.73,1973,12,0.31,255.12,45.55,125.99,77.15,26.0
Andaman and Nicobar Islands,43.94,1974,1,0.0,103.46,10.22,25.54,74.82,25.06
Andaman and Nicobar Islands,34.3,1974,2,0.0,98.51,5.87,16.83,75.5,26.0
Andaman and Nicobar Islands,42.68,1974,3,0.0,87.94,16.09,26.33,78.31,26.74
Andaman and Nicobar Islands,155.04,1974,4,0.0,162.34,31.54,87.61,80.67,27.46
Andaman and Nicobar Islands,303.96,1974,5,0.13,117.14,39.66,142.19,83.09,27.41
Andaman and Nicobar Islands,236.2,1974,6,0.0,78.14,24.57,74.16,84.9,27.27
Andaman and Nicobar Islands,257.82,1974,7,0.02,88.15,26.43,75.69,84.84,26.84
Andaman and Nicobar Islands,327.31,1974,8,0.09,115.93,36.97,108.54,85.31,26.97
